"filename", "language", "C#", "C++", "comment", "blank", "total"
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Private\AssetLoader.cpp", "C++", 0, 9, 1, 5, 15
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Private\AssetPublisher.cpp", "C++", 0, 55, 5, 25, 85
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Private\AssetPublisherTagsCustomization.cpp", "C++", 0, 174, 21, 50, 245
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Private\MetadataOps.cpp", "C++", 0, 120, 17, 50, 187
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Private\OperationChoiceWindow.cpp", "C++", 0, 78, 5, 39, 122
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Private\SAssetPackTile.cpp", "C++", 0, 123, 13, 44, 180
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Private\SLoaderWindow.cpp", "C++", 0, 395, 24, 116, 535
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Private\SPublisherWindow.cpp", "C++", 0, 512, 97, 214, 823
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Private\STagRow.cpp", "C++", 0, 1, 18, 3, 22
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Private\Vault.cpp", "C++", 0, 82, 7, 48, 137
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Private\VaultCommands.cpp", "C++", 0, 7, 1, 5, 13
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Private\VaultSettings.cpp", "C++", 0, 202, 28, 62, 292
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Private\VaultStyle.cpp", "C++", 0, 57, 1, 14, 72
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Private\VaultTypes.cpp", "C++", 0, 7, 1, 6, 14
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Public\AssetLoader.h", "C++", 0, 11, 4, 6, 21
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Public\AssetPublisher.h", "C++", 0, 33, 10, 30, 73
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Public\AssetPublisherTagsCustomization.h", "C++", 0, 45, 5, 28, 78
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Public\AssetViewItem.h", "C++", 0, 8, 1, 13, 22
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Public\MetadataOps.h", "C++", 0, 19, 4, 13, 36
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Public\OperationChoiceWindow.h", "C++", 0, 25, 11, 16, 52
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Public\SAssetPackTile.h", "C++", 0, 56, 6, 53, 115
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Public\SLoaderWindow.h", "C++", 0, 41, 6, 48, 95
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Public\SPublisherWindow.h", "C++", 0, 64, 8, 68, 140
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Public\STagRow.h", "C++", 0, 2, 23, 9, 34
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Public\Vault.h", "C++", 0, 25, 5, 20, 50
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Public\VaultCommands.h", "C++", 0, 15, 2, 7, 24
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Public\VaultSettings.h", "C++", 0, 23, 15, 26, 64
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Public\VaultStyle.h", "C++", 0, 16, 3, 12, 31
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Public\VaultTypes.h", "C++", 0, 52, 12, 37, 101
"d:\Repo\Git\Vault-Dev\VaultDev2\Plugins\Vault\Source\Vault\Vault.Build.cs", "C#", 35, 0, 1, 7, 43
"Total", "-", 35, 2257, 355, 1074, 3721